Date,AAPL UW Equity,MSFT UW Equity,AMZN UW Equity,GOOGL UW Equity,GOOG UW Equity,BRK/B UN Equity,FB UW Equity,JNJ UN Equity,JPM UN Equity,XOM UN Equity,WMT UN Equity,V UN Equity,BAC UN Equity,UNH UN Equity,PFE UN Equity,WFC UN Equity,VZ UN Equity,PG UN Equity,CVX UN Equity,T UN Equity,INTC UW Equity,CSCO UW Equity,HD UN Equity,MA UN Equity,KO UN Equity,BA UN Equity,MRK UN Equity,ORCL UN Equity,DIS UN Equity,CMCSA UW Equity,PEP UW Equity,C UN Equity,MCD UN Equity,PM UN Equity,DWDP UN Equity,ABBV UN Equity,NFLX UW Equity,ABT UN Equity,MDT UN Equity,NVDA UW Equity,AMGN UW Equity,NKE UN Equity,ADBE UW Equity,MO UN Equity,LLY UN Equity,MMM UN Equity,IBM UN Equity,HON UN Equity,UNP UN Equity,ACN UN Equity,UTX UN Equity,COST UW Equity,CRM UN Equity,PYPL UW Equity,AVGO UW Equity,TMO UN Equity,UPS UN Equity,AXP UN Equity,TXN UW Equity,GILD UW Equity,SBUX UW Equity,BKNG UW Equity,LMT UN Equity,LIN UN Equity,FOXA UW Equity,FOX UW Equity,BMY UN Equity,GS UN Equity,USB UN Equity,NEE UN Equity,CHTR UW Equity,CVS UN Equity,MS UN Equity,LOW UN Equity,WBA UW Equity,COP UN Equity,CAT UN Equity,GE UN Equity,ANTM UN Equity,DHR UN Equity,AMT UN Equity,SLB UN Equity,TJX UN Equity,QCOM UW Equity,AET UN Equity,CME UW Equity,KHC UW Equity,BLK UN Equity,BIIB UW Equity,BDX UN Equity,ADP UW Equity,MDLZ UW Equity,SCHW UN Equity,SYK UN Equity,PNC UN Equity,EOG UN Equity,DUK UN Equity,ISRG UW Equity,CB UN Equity,CSX UW Equity,FDX UN Equity,SPG UN Equity,INTU UW Equity,AGN UN Equity,OXY UN Equity,ESRX UW Equity,CL UN Equity,GD UN Equity,RTN UN Equity,BSX UN Equity,CI UN Equity,CELG UW Equity,EL UN Equity,GM UN Equity,NOC UN Equity,HCA UN Equity,ILMN UW Equity,BK UN Equity,SO UN Equity,D UN Equity,SPGI UN Equity,DE UN Equity,HUM UN Equity,MPC UN Equity,NSC UN Equity,VRTX UW Equity,ECL UN Equity,CCI UN Equity,PSX UN Equity,ZTS UN Equity,TGT UN Equity,ICE UN Equity,MET UN Equity,MU UW Equity,MMC UN Equity,ITW UN Equity,EXC UN Equity,EMR UN Equity,COF UN Equity,PGR UN Equity,PLD UN Equity,ATVI UW Equity,CTSH UW Equity,CCL UN Equity,MAR UW Equity,AON UN Equity,PRU UN Equity,HPQ UN Equity,BBT UN Equity,DAL UN Equity,SHW UN Equity,AIG UN Equity,KMI UN Equity,REGN UW Equity,WM UN Equity,STZ UN Equity,ROST UW Equity,KMB UN Equity,F UN Equity,VLO UN Equity,AEP UN Equity,LYB UN Equity,PSA UN Equity,FIS UN Equity,APD UN Equity,SYY UN Equity,TRV UN Equity,AFL UN Equity,BAX UN Equity,AMAT UW Equity,VFC UN Equity,ADI UW Equity,ALL UN Equity,EW UN Equity,FISV UW Equity,SRE UN Equity,ETN UN Equity,JCI UN Equity,MNST UW Equity,EQIX UW Equity,DG UN Equity,ROP UN Equity,RHT UN Equity,WMB UN Equity,HAL UN Equity,ADSK UW Equity,LUV UN Equity,MCO UN Equity,APC UN Equity,CNC UN Equity,STI UN Equity,EBAY UW Equity,ORLY UW Equity,YUM UN Equity,BHGE UN Equity,TEL UN Equity,ALXN UW Equity,APH UN Equity,STT UN Equity,CXO UN Equity
2013-01-02,78.4329,27.66,257.33,361.975,#N/A,93.2,28,70.84,44.66,88.71,69.24,38.845,12.03,54.54,25.91,35.05,44.27,69.39,110.39,35,21.38,20.34,63.48,51.027,37.6,77.07,41.34,#N/A,51.1,19.26,#N/A,41.25,90.12,86.74,33.05,35.12,13.144,32.05,41.88,12.72,89.23,25.92,38.34,32.54,49.51,94.78,196.35,61.6422,64.23,69.06,84,101.45,42.7925,#N/A,32.54,65,76.31,58.75,32.31,37.53,27.5,638.4,93.27,112.58,23.4961,24.0046,32.71,131.66,32.97,70.52,86.375,49.68,19.62,36.19,#N/A,59.21,93.5,21.34,60.92,43.565,79.05,71.4,21.585,64.75,46.25,51.34,#N/A,212.77,138.165,79.45,51.2236,26.68,15.08,55.88,59.54,61.84,65.01,165.84,81.79,#N/A,94.25,150.25,61.95,84.21,74.9747,55.64,53.155,71.21,58.62,5.89,55.16,40.55,61.01,29.13,68.17,31.3,55.42,26.88,43.78,52.92,55.72,87.99,68.44,32.005,63.29,43.65,74.33,75.1,55.26,#N/A,58.82,24.984,31.3234,6.63,35.52,61.98,29.82,54.6,61.23,21.69,37.35,10.95,38.07,37.5,#N/A,57.43,56.02,6.8192,30.07,12.23,156.68,36.48,36.53,181.2,33.97,37.56,27.22,82.7893,13.2,32.41,43.65,59.17,146.09,35.82,79.378,31.9,72.86,27.035,36.7514,11.84,37.59,44,41.16,46.07,20.32,72.18,56.45,28.647,18.077,215.14,42.92,114.48,54.6,34.03,35.71,36.94,10.47,51.77,76.06,20.68,29.26,22.6011,89.87,48.2917,42.13,38.06,100.05,34.04,48.32,81.96
2013-01-03,77.4914,27.28,258.48,362.211,#N/A,93.67,27.765,70.74,44.57,88.55,68.8,38.875,11.97,51.99,25.85,34.81,44.06,68.95,109.92,35.03,21.32,20.45,63.33,51.1,37.6,77.47,42.36,#N/A,51.21,19.055,#N/A,41.41,90.65,85.86,33.15,34.83,13.797,33.29,42.47,12.73,88.59,26.185,37.75,32.56,49.72,94.67,195.27,61.8802,64.32,68.81,84.31,102.49,42.1775,#N/A,32.71,64.8,76.41,59,31.9,37.485,27.685,648.73,93.55,112.58,23.1871,23.7309,33.24,130.94,32.51,70.53,86.242,49.78,19.58,35.85,#N/A,59.17,94.4,21.1,58.93,43.9819,77.12,70.92,22.29,64.45,45.27,51.54,#N/A,213.35,136.194,80.39,51.4254,26.64,15.06,56.14,59.75,62.09,64.87,167.89,82.22,#N/A,94.6,149.046,61.74,85.92,75.272,54.72,53.33,71.49,58.64,5.95,54.35,40.855,62.23,29.82,67.94,31.65,55.55,26.58,43.77,52.98,55.28,87.77,66.25,31.11,63.46,45.18,74.1,73.6,53.19,#N/A,60.16,25.384,31.2788,6.89,35.49,62.23,30.06,54.86,60.55,22.03,37.4,11.01,37.7,37.03,#N/A,57.11,55.65,6.8736,29.92,12.58,155.14,36.18,36.98,180.71,34.09,36.69,29.39,82.4347,13.46,31.7158,43.62,57.64,145.55,35.57,79.1283,31.76,73.42,26.35,36.822,11.82,37.9475,43.29,41.58,46.26,20.1675,71.96,56.37,27.9442,17.403,212.11,42.33,114.61,53.91,33.77,36.31,36.37,10.72,51.98,76.33,20.455,28.63,22.0961,90.21,48.5937,42.55,37.84,98.48,33.605,48.06,83.63
2013-01-04,75.2886,26.78,259.15,369.343,#N/A,93.85,28.76,71.55,45.36,88.96,69.06,39.1925,12.11,52.09,25.96,34.94,44.3,69.09,110.5,35.23,21.16,20.5,63.18,51.098,37.66,77.69,41.93,#N/A,52.19,19.045,#N/A,42.43,89.9,86.52,33.63,34.39,13.731,33.08,42.66,13.16,88.99,26.44,38.14,32.55,51.56,95.41,193.99,63.1463,65.445,69.19,84.98,102.18,42.4025,#N/A,32.5,65.37,76.57,59.61,31.84,37.885,27.85,648.41,93.9,113.34,23.4166,23.8633,33.35,134.51,33.24,70.88,85.822,49.99,20.17,35.58,#N/A,59.83,94.92,21.2,59.33,44.0274,77.05,72,22.28,63.56,45.49,53.77,#N/A,218.03,134.407,80.35,51.8903,26.75,15.46,56.73,60.48,62.9,65.06,166.86,82.32,#N/A,94.91,149.112,62.2,85.3,76.5862,55.01,53.95,71.07,59.01,5.92,54.75,41.06,62.69,29.86,68.76,31.94,54.76,27.29,44.16,53.54,55.1,88.67,67.47,31.275,65.37,45.89,74.35,73.54,53.14,#N/A,60.58,25.906,32.0363,6.96,35.39,62.4,30.27,55.07,61.96,22.27,37.71,11.17,37.615,37.07,#N/A,57.13,56.52,6.8736,30.2,12.98,158.8,36.3,36.71,181.07,34.08,36.75,28.975,82.7702,13.57,32.2547,43.55,58.41,146.22,35.98,80.1638,31.85,74.06,26.02,37.1751,11.81,38.4525,42.52,42.2,46.325,20.1775,72,56.75,27.9067,17.297,215.26,44.6,115.52,54.25,34.14,36.65,36.37,10.88,52.77,78.27,20.8,29.42,22.2181,91.65,49.1258,43.53,37.64,97.62,33.47,49.39,83.78
2013-01-07,74.88,26.72,268.51,367.731,#N/A,93.45,29.44,71.4,45.41,87.93,68.4,39.4725,12.09,52.09,25.99,34.77,44.69,68.62,109.75,35.39,21.25,20.31,62.85,51.953,37.3,76.13,42.12,#N/A,50.97,18.95,#N/A,42.47,90.91,86.25,33.59,34.46,14.174,33.34,43.16,12.77,88.54,26.48,37.95,32.46,51.49,95.49,193.14,63.1749,65.135,68.89,84.57,101.38,42.245,#N/A,32.32,65.88,76.35,59.86,31.93,38.45,27.88,657.38,94.22,113.09,23.1517,23.6779,33.4,134.26,32.92,70.49,85.601,50.04,19.8,34.76,#N/A,59.17,95.21,21.13,59.74,44.0274,76.96,72.22,22.13,64.01,46.16,53.49,#N/A,217.63,134.868,80.62,51.6798,26.66,15.27,57.07,61.03,62.995,64.75,167.333,81.32,#N/A,94.72,150.174,62.29,85.66,76.6246,54.515,53.04,71.86,58.35,5.98,54.94,42.865,62,29.66,68.67,32.32,50.88,26.89,43.39,52.66,55.18,88.6,67.28,30.125,64.83,47.31,73.9,72.76,51.36,#N/A,61.3,25.382,31.8937,7.18,35.31,62.26,29.87,54.7,62.88,22.02,37.96,11.18,37.76,36.94,#N/A,56.8,55.79,6.8873,30.04,12.99,158.49,35.93,37.32,182.53,33.97,36.41,28.775,80.9491,13.43,31.3778,43.37,59.14,145.95,35.8,80.0898,31.76,73.06,25.92,37.2131,11.67,37.345,42.65,41.74,47.25,20.3025,71.85,55.75,27.9442,16.687,218.78,43.72,115.04,53.92,33.99,36.65,36.1,10.91,52.53,78.25,21.24,28.97,22.5212,90.05,48.8166,43.01,37.19,97.31,33.515,49.44,83.6
2013-01-08,75.03,26.55,266.38,367.005,#N/A,93.81,29.06,71.41,45.5,88.48,68.59,39.84,11.98,51.4,26.02,34.71,43.1,68.51,109.26,34.35,21.09,20.34,63.22,51.782,37.04,74.13,42.18,#N/A,50.76,19.08,#N/A,42.46,90.94,86.09,33.1,33.71,13.893,33.35,43.11,12.5,88.19,26.2,38.14,32.14,51.88,95.5,192.87,62.5846,65.09,69.29,83.55,101.14,42.4925,#N/A,32.1,65.47,76.14,60.2,31.58,38.645,27.81,657.42,92.96,113.88,23.0458,23.5367,33.49,133.05,32.97,71.3,85.379,49.85,19.65,34.78,#N/A,58.37,94,20.9,60.07,43.7166,77.27,72.51,21.75,63.93,44.38,52.9,#N/A,214.26,132.998,81.34,52.0044,26.67,15.22,56.97,60.25,62.07,64.9,168.143,79.99,#N/A,95.11,149.629,61.59,86.68,78.3896,54,53.16,70.41,57.74,6.12,54.42,45.705,62.74,29.37,67.34,31.7,52.42,26.52,43.27,52.37,54.9,87.68,66.01,30.775,63.99,48.49,73.25,72.67,51.59,#N/A,60.64,25.436,32.0809,7.23,34.88,62.22,29.61,54.21,62.16,21.98,37.84,11,37.25,37,#N/A,56.62,55.66,6.9872,29.83,12.98,160.96,35.65,37.34,176.695,34.04,36.06,28.41,80.537,13.35,31.6701,43.15,59.74,144.96,35.68,80.2377,31.44,73.19,26.22,37.1751,11.5,37.3225,42.23,41.83,46.285,20.4,70.84,55.02,27.8974,16.91,215.21,43.36,114.79,54.58,33.57,36.19,36.3,11.03,52.81,78.35,20.66,28.98,22.1466,89.21,46.7673,42.36,36.88,97.5,33.345,49.11,85.02
2013-01-09,73.8714,26.7,266.35,369.217,#N/A,93.32,30.59,71.73,45.47,88.14,68.57,40.4475,11.43,52.37,26.47,34.71,43,68.88,109.54,34.24,21.44,20.3,63.17,53.239,37.03,76.76,42.59,#N/A,50.78,19.21,#N/A,42.04,90.81,85.83,33.5,33.9,13.701,33.57,43.38,12.21,88.67,26.225,38.65,31.9,52.97,96.41,192.32,63.3462,65.445,69.78,84.55,101.23,42.9575,#N/A,32.81,67.73,77,60.26,32,38.935,27.315,651.59,93.99,113.87,23.3019,23.8368,33.68,134.32,33.27,70.8,86.928,50.28,19.62,34.88,#N/A,58.25,94.44,20.95,62.05,45.3234,77.73,72.2,21.835,64.88,44.98,52.86,#N/A,214.82,132.712,81.55,51.8552,27.05,15.13,58.38,60.17,62.315,65.01,168.91,80.64,#N/A,96.77,150.362,62.16,87.46,78.7637,55.03,53.065,70.68,58.21,6.28,54.63,46.17,62.49,29.97,67.04,33.05,52.53,26.61,43.06,52.2,54.75,89.06,66.91,31.21,64.75,48.25,73.37,72.59,51.32,#N/A,60.18,25.522,32.1254,7.31,34.86,61.87,29.24,54.7,62.31,22,38.22,10.94,37.185,37.1,#N/A,56.79,56.31,7.196,30.04,13.11,162.17,35.76,37.12,183.4,34.57,35.82,28.45,81.0929,13.47,31.396,43.16,59.6,145.49,36.02,81.3194,30.88,73.94,26.25,37.1534,11.68,36.925,42.1,42.23,46.6,20.71,71.37,55.77,28.6283,16.777,217.84,42.99,115.2,54.44,33.77,36.48,36.67,11,53.27,78,20.64,28.71,22.2055,88.39,46.6091,42.41,37.11,100.31,33.755,49.51,84.8
2013-01-10,74.8114,26.46,265.34,371.099,#N/A,94.65,31.3,72.19,46.15,89.1,68.36,40.1275,11.78,53.11,26.76,35.4,43.59,69.27,110.47,34.37,21.8,20.44,63.62,52.765,36.96,77.09,42.78,#N/A,50.79,19.25,#N/A,42.83,91.4,87.29,33.84,34,14,33.85,43.85,12.23,87.81,26.275,38.62,32.7,53.25,96.89,192.88,63.232,65.545,69.17,84.97,100.74,43.28,#N/A,33.52,67.54,78.2,60.79,32.43,38.985,27.27,653.62,94.11,114.18,23.814,24.2783,34.09,137.37,33.64,71.49,87.37,51.23,20.34,35.55,#N/A,58.5,95.08,21.17,62.24,45.4674,78.67,73.25,21.865,64.76,45.76,53.32,#N/A,218.75,132.556,81.68,52.0395,27.31,15.33,58.84,61.14,63.05,65.37,169.623,82.04,#N/A,97.7,150.344,62.41,87.99,79.627,55.84,53.695,71.65,58.58,6.3,55.62,47.74,63.8,30.44,67.4,33.17,53.64,26.83,43.22,52.22,54.3,89.91,69.24,31.395,64.67,46.8,73.15,73.18,51.51,#N/A,60.31,25.6,32.6066,7.42,35.13,62.76,29.26,55.14,62.87,22.38,38.04,10.93,37.525,37.14,#N/A,58.08,57.9,7.3912,30.54,13.3,162.36,35.8,37.1,183.77,34.86,35.68,28.65,81.3996,13.83,31.8802,43.55,60.61,146.28,36.54,81.2455,30.95,74.45,26.685,37.1751,11.64,37.73,42.61,42.58,46.015,20.8,71.86,55.93,28.4784,16.253,217.78,43.38,114.47,54.27,33.81,36.9,36.52,11.07,53.08,77.66,20.945,28.6,22.3065,87.74,47.6373,43.03,37.2,102.57,33.925,50.25,86.4
2013-01-11,74.3286,26.83,267.94,370.354,#N/A,94.39,31.72,72.35,46.14,89.61,68.63,40.29,11.63,52.82,26.52,35.1,43.3,69.22,111.73,34.27,22,20.48,63.7,52.868,36.91,75.16,43.23,#N/A,50.58,19.23,#N/A,42.34,91.73,89.23,33.86,33.85,14.47,33.37,44.07,12.21,86.96,26.55,38.09,32.93,53.11,96.28,194.45,63.1273,65.485,69.88,85.18,100.28,43.3375,#N/A,34.34,67.55,77.92,61.24,32.42,39.04,27.505,655.49,93.71,114,23.7787,24.2165,34.13,137.13,33.5,71.78,86.695,51.3,20.17,35.83,#N/A,58.27,95.19,21.13,61.75,45.3082,78.78,73.75,21.98,64.9,45.53,54.02,#N/A,221.01,132.445,81.76,52.1272,27.42,15.39,58.84,60.05,62.815,65.69,168.667,82.76,#N/A,97.4,150.419,62.62,83.71,79.6941,55.6,53.545,70.74,57.99,6.36,55.6,48.15,64.13,30.36,67.07,33.2,52.68,26.78,43.16,52.43,53.87,89.62,69.56,30.995,64.04,47.31,72.81,72.78,50.58,#N/A,60.07,25.872,32.3838,7.54,35.26,62.56,29.29,55.04,61.99,22.34,38.28,11.52,39.235,37.03,#N/A,57.75,57.6,7.3367,30.31,13.35,161.28,35.23,37.06,179.46,34.81,35.63,28.285,81.5625,14,31.6975,43.24,60.91,147.05,37,81.6985,30.91,74.85,26.465,37.4576,11.71,37.25,42.26,42.96,45.895,20.745,71.83,55.75,28.3472,16.973,217.72,43.34,114.38,54.45,33.49,36.62,36.8,11.05,53.28,77.84,20.825,28.31,22.6011,88.01,48.0832,43.01,37.9,100.39,34.185,50.58,85.83
2013-01-14,71.6786,26.9,272.73,361.975,#N/A,95.36,30.95,72.56,45.88,89.58,68.3,40.1625,11.47,53.36,26.74,34.77,42.59,69.63,112.85,34.02,22,20.96,63.48,52.351,36.99,76.55,43.34,#N/A,50.59,19.46,#N/A,42.22,91.53,89.07,34.28,34.09,14.777,33.36,44.22,12.2,86.92,26.595,38.16,32.99,52.8,97.08,192.62,63.5557,65.67,69.86,85.8,100.37,43.5025,#N/A,34.57,67.56,79.24,61.21,32.34,38.885,27.335,662.92,93.91,114.1,23.6639,24.1723,34.22,136.13,33.47,71.69,86.463,51.89,20.07,35.38,#N/A,58.47,94.63,21.12,62.44,45.1642,78.7,72.77,21.965,64.24,45.78,54.33,#N/A,222.19,132.528,82.3,52.1184,27.48,15.27,58.87,59.45,62.33,65.39,170.907,83.03,#N/A,98.42,149.911,62.68,84.1,79.3009,54.69,53.965,70.35,57.87,6.32,55.68,48.835,64.23,30.33,67.22,33.85,52.62,26.72,43.05,52.39,54.59,89.86,70.24,31.31,64.87,47.34,72.94,72.94,51.35,#N/A,60.39,25.904,32.3482,7.6,35.19,62.88,29.42,55.32,61.28,22.55,38.3,11.5,39.225,37.37,#N/A,57.36,57.2,7.6954,30.26,13.44,161.18,35.05,36.94,179.4,34.86,35.33,28.125,82.0897,13.99,32.273,43.24,61.2,146.31,37.19,81.3472,31.07,74.95,26.475,36.9578,11.75,38.47,42.24,42.93,45.7,20.725,72.25,55.33,28.394,16.923,216.04,43.02,114.28,54.99,33.47,35.91,36.83,11.02,53.24,77.87,20.535,28.09,22.3823,88.55,47.5654,42.01,37.82,99.35,34.09,51.01,86.41
2013-01-15,69.4171,27.21,271.9,362.816,#N/A,95.36,30.1,72.37,46.35,89.53,68.98,40.1125,11.55,53.62,26.62,35.11,41.97,69.88,113.44,33.76,21.88,20.98,63.95,52.28,37.32,76.94,42.87,#N/A,51.09,19.6,#N/A,42.57,91.51,88.92,34.09,34.6,14.527,33.02,44.13,11.98,85.08,26.82,38.15,32.78,53.29,97.29,192.5,63.6699,65.72,70.25,85.96,101.15,43.6625,#N/A,33.87,67.74,79.33,60.76,32.28,38.68,27.24,663.35,94.02,113.81,23.8758,24.2783,34.3,135.59,33.28,71.88,86.618,51.79,20.43,35.93,#N/A,59.03,95.67,21.2,63.01,45.4674,79.32,72.59,22.175,64.44,46.05,54.74,#N/A,223.25,131.727,82.7,51.8816,27.71,15.29,59.56,59.77,62.55,66.05,167.863,83.42,#N/A,98.67,150.616,62.95,85.25,79.1282,54.1,53.87,70.58,58.15,6.51,55.87,49.695,64.34,30.6,67.48,34.99,51.62,26.78,42.99,52.53,54.52,89.73,71.58,32.13,65.46,47.08,73.13,73.21,52.24,#N/A,61.09,25.718,32.3393,7.6,35.07,62.62,29.75,55.01,61.7,22.65,38.47,11.57,39.08,37.65,#N/A,57.54,57.14,7.5047,30.32,13.63,161.02,34.84,36.84,174.84,34.91,36.41,29,82.1376,14.3,32.7023,43.16,61.34,147.67,36.76,81.079,31.21,75.56,26.515,36.42,11.77,38.4725,42.02,42.91,45.035,20.1175,72.7,55.59,28.6095,17.017,216.79,44.64,114.32,54.99,33.3,36.18,36.71,11.08,53.44,78.1,21,28.89,22.1045,89.72,47.7236,42.19,38.01,98.22,34.175,50.8,87.46
