Date,AAPL UW Equity,MSFT UW Equity,AMZN UW Equity,GOOGL UW Equity,GOOG UW Equity,BRK/B UN Equity,FB UW Equity,JNJ UN Equity,JPM UN Equity,XOM UN Equity,WMT UN Equity,V UN Equity,BAC UN Equity,UNH UN Equity,PFE UN Equity,WFC UN Equity,VZ UN Equity,PG UN Equity,CVX UN Equity,T UN Equity,INTC UW Equity,CSCO UW Equity,HD UN Equity,MA UN Equity,KO UN Equity,BA UN Equity,MRK UN Equity,ORCL UN Equity,DIS UN Equity,CMCSA UW Equity,PEP UW Equity,C UN Equity,MCD UN Equity,PM UN Equity,DWDP UN Equity,ABBV UN Equity,NFLX UW Equity,ABT UN Equity,MDT UN Equity,NVDA UW Equity,AMGN UW Equity,NKE UN Equity,ADBE UW Equity,MO UN Equity,LLY UN Equity,MMM UN Equity,IBM UN Equity,HON UN Equity,UNP UN Equity,ACN UN Equity,UTX UN Equity,COST UW Equity,CRM UN Equity,PYPL UW Equity,AVGO UW Equity,TMO UN Equity,UPS UN Equity,AXP UN Equity,TXN UW Equity,GILD UW Equity,SBUX UW Equity,BKNG UW Equity,LMT UN Equity,LIN UN Equity,FOXA UW Equity,FOX UW Equity,BMY UN Equity,GS UN Equity,USB UN Equity,NEE UN Equity,CHTR UW Equity,CVS UN Equity,MS UN Equity,LOW UN Equity,WBA UW Equity,COP UN Equity,CAT UN Equity,GE UN Equity,ANTM UN Equity,DHR UN Equity,AMT UN Equity,SLB UN Equity,TJX UN Equity,QCOM UW Equity,AET UN Equity,CME UW Equity,KHC UW Equity,BLK UN Equity,BIIB UW Equity,BDX UN Equity,ADP UW Equity,MDLZ UW Equity,SCHW UN Equity,SYK UN Equity,PNC UN Equity,EOG UN Equity,DUK UN Equity,ISRG UW Equity,CB UN Equity,CSX UW Equity,FDX UN Equity,SPG UN Equity,INTU UW Equity,AGN UN Equity,OXY UN Equity,ESRX UW Equity,CL UN Equity,GD UN Equity,RTN UN Equity,BSX UN Equity,CI UN Equity,CELG UW Equity,EL UN Equity,GM UN Equity,NOC UN Equity,HCA UN Equity,ILMN UW Equity,BK UN Equity,SO UN Equity,D UN Equity,SPGI UN Equity,DE UN Equity,HUM UN Equity,MPC UN Equity,NSC UN Equity,VRTX UW Equity,ECL UN Equity,CCI UN Equity,PSX UN Equity,ZTS UN Equity,TGT UN Equity,ICE UN Equity,MET UN Equity,MU UW Equity,MMC UN Equity,ITW UN Equity,EXC UN Equity,EMR UN Equity,COF UN Equity,PGR UN Equity,PLD UN Equity,ATVI UW Equity,CTSH UW Equity,CCL UN Equity,MAR UW Equity,AON UN Equity,PRU UN Equity,HPQ UN Equity,BBT UN Equity,DAL UN Equity,SHW UN Equity,AIG UN Equity,KMI UN Equity,REGN UW Equity,WM UN Equity,STZ UN Equity,ROST UW Equity,KMB UN Equity,F UN Equity,VLO UN Equity,AEP UN Equity,LYB UN Equity,PSA UN Equity,FIS UN Equity,APD UN Equity,SYY UN Equity,TRV UN Equity,AFL UN Equity,BAX UN Equity,AMAT UW Equity,VFC UN Equity,ADI UW Equity,ALL UN Equity,EW UN Equity,FISV UW Equity,SRE UN Equity,ETN UN Equity,JCI UN Equity,MNST UW Equity,EQIX UW Equity,DG UN Equity,ROP UN Equity,RHT UN Equity,WMB UN Equity,HAL UN Equity,ADSK UW Equity,LUV UN Equity,MCO UN Equity,APC UN Equity,CNC UN Equity,STI UN Equity,EBAY UW Equity,ORLY UW Equity,YUM UN Equity,BHGE UN Equity,TEL UN Equity,ALXN UW Equity,APH UN Equity,STT UN Equity,CXO UN Equity
2013-01-02,79.1429,27.25,256.37,360.364,#N/A,91.6,27.42,70.92,45,87.57,68.95,38.575,12.07,54.88,25.49,35.03,44.5,68.64,110.15,34.4,21.15,20.12,63.42,50.38,36.83,76.55,41.77,#N/A,50.84,19.06,#N/A,41,89.62,84.75,33,34.4,13.601,32.35,41.19,12.51,87.36,26.17,37.92,32.07,50,94.1,194.3,61.5374,64.285,67.7,83.5,100.6,42.965,#N/A,32.43,64.79,75.09,58.42,31.49,37.16,27.32,638.76,93.84,111.12,23.0811,23.6868,32.8,131.49,32.43,69.99,85.711,49,20.1,36.29,#N/A,59.15,93.37,21.53,61,43.2012,78.47,70.8,21.485,63.58,47.03,51.3,#N/A,210,136.747,79,50.9517,25.84,14.71,55.4,59.52,61.5,64.64,168.833,81.05,#N/A,93.68,150.447,60.25,86.58,75.2145,54.87,52.815,70.86,58.59,5.83,53.91,40.16,60,29.5,68.79,31.05,56.1,26.2,43.35,52.48,55.51,87.95,69.45,32.045,63.38,42.87,72.93,73.1,54.34,#N/A,58.62,25.01,30.3164,6.6,34.97,62.01,30.14,54,59.57,21.48,37.19,10.85,37.73,37.21,#N/A,56.26,55.19,6.7057,29.65,12.11,156.74,36.32,35.95,176.42,34.07,36.04,27.135,81.8117,13.25,31.9715,43.25,58.58,146.25,35.2,79.2023,31.94,72.93,27.15,36.5884,11.62,38.4375,42.8,40.94,46,20.07,72.03,56.36,27.8786,17.9,211.23,44.05,113.36,54.34,33.37,35.53,36.05,10.48,51.47,75.62,20.955,29.14,22.0708,90.47,48.4643,41.72,37.89,96.15,32.895,47.91,82.34
2013-01-03,78.2786,27.6,257.24,362.161,#N/A,93.2,27.88,71,44.69,88.59,69.27,38.885,12.01,53.3,25.99,35.02,44.39,69.4,110.29,35.1,21.42,20.4,63.93,51.046,37.53,77.02,41.95,#N/A,51.11,19.245,#N/A,41.17,90.36,86.94,32.97,34.7,13.139,33.2,42.06,12.67,89.22,25.975,38.14,32.63,49.52,94.48,195.87,61.4994,64.125,69,83.75,101.98,42.685,#N/A,32.34,64.95,76.25,58.8,32.15,37.54,27.5,652.59,93.52,112.68,23.4431,23.8633,32.73,131.68,32.95,70.6,86.264,49.53,19.52,36.35,#N/A,59.14,93.16,21.49,60.17,43.512,78.22,71.25,22.175,64.67,46.01,51.39,#N/A,213.31,130.842,79.87,51.4166,26.72,15.03,55.9,59.54,61.745,64.6,165.293,81.84,#N/A,94.12,150.588,61.64,84.21,74.8116,55.49,53.095,71.12,58.66,5.9,54.99,40.69,61.36,29.12,68.36,30.9,55.68,26.86,43.76,52.86,55.75,88.07,68.22,31.95,63.18,43.7,74.27,74.95,55.03,#N/A,60.5,25.036,31.2521,6.62,35.47,62.06,29.88,54.93,60.88,21.71,37.38,10.89,37.83,37.01,#N/A,57.38,55.72,6.8782,30.04,12.14,156.67,36.55,36.62,181.58,34,37.35,28.365,82.9044,13.24,32.3369,43.65,58.3,145.99,35.86,79.4704,31.91,72.8,26.775,36.7133,11.82,37.695,43.6,41.2,46.04,20.245,72.21,56.3,28.5721,18.02,213.96,40.28,114.25,54.43,34.02,35.68,36.75,10.48,51.67,75.9,20.66,28.52,22.5717,90.1,48.2773,42.04,38.09,99.34,33.72,48.21,81.66
2013-01-04,76.7357,27.28,257.58,365.184,#N/A,93.73,28,71.14,44.54,88.65,68.74,38.9,11.97,52.12,25.87,34.64,44.02,69.01,110.1,35.1,21.36,20.41,63.26,51.115,37.64,77.79,42.44,#N/A,51.38,19.1,#N/A,41.74,90.55,85.93,33.22,34.66,13.791,33.41,42.59,12.75,88.59,26.265,37.88,32.57,51,94.79,194.3,62.1753,64.42,68.77,84.52,102.59,42.165,#N/A,32.7,64.95,76.51,59.13,32,37.6,27.765,648.25,93.93,112.92,23.2577,23.7397,33.36,130.82,32.73,70.64,86.607,49.85,19.69,35.94,#N/A,59.29,94.5,21.21,59.2,43.9895,77.28,71.16,22.31,64.1,45.41,51.68,#N/A,213.03,136.341,80.59,51.6008,26.67,15.1,56.32,59.93,62.115,64.9,168.567,82.23,#N/A,94.8,149.008,62,85.95,75.5406,54.77,53.345,71.65,58.89,5.94,54.37,41.015,62.3,29.69,68.23,31.65,55.99,26.39,43.82,53,55.34,88.2,66.83,31.2,63.81,45.35,74.23,73.58,53.19,#N/A,60.75,25.344,31.5907,6.95,35.49,62.39,30.05,55.05,60.78,22.03,37.42,11.03,37.86,36.83,#N/A,57.26,55.68,6.9145,29.68,12.6,157,36.37,36.98,182.26,34.19,36.68,29.395,82.5306,13.5,31.9258,43.64,58.05,145.41,35.67,79.378,31.79,73.5,26.455,36.8818,11.82,37.9625,43.23,41.59,46.385,20.2325,72.18,56.65,28.1035,17.42,212.36,42.41,114.96,53.9,33.71,36.36,36.53,10.74,52.28,76.59,20.6,29.19,22.0793,90.53,48.5649,42.47,37.85,98.54,33.61,48.1,83.46
2013-01-07,74.5786,26.75,262.97,368.081,#N/A,93.75,28.66,71.5,45.15,88.23,68.81,39.2125,12.14,51.96,25.87,34.94,44.27,68.85,109.92,35.23,21.28,20.34,62.5,51.25,37.47,77.61,41.97,#N/A,51.69,18.925,#N/A,42.5,89.89,86.1,33.03,34.15,13.761,33,42.52,13.18,88.49,26.315,37.81,32.5,51.31,94.96,193.18,62.8988,65.135,68.58,84.54,101.09,42.235,#N/A,32.37,65.31,76.45,59.28,31.77,38.435,27.7,648,93.43,112.77,23.2577,23.6868,33.21,134.04,33.09,70.71,85.357,49.69,20,35.02,#N/A,59.52,94.5,21.14,59.05,44.7701,76.71,71.46,22.215,63.35,45.34,53.59,#N/A,217.68,133.827,80.16,51.7149,26.62,15.36,56.65,60.25,62.555,64.84,166.093,81.9,#N/A,94.41,148.679,61.82,85.01,76.26,54.88,53.58,70.78,58.69,5.94,54.56,41.05,62.67,29.64,69.45,31.98,49.82,26.5,44.01,53.16,54.83,88.19,67.14,30.7,65.13,45.88,74,73.21,52.26,#N/A,60.54,25.742,32.0096,7.03,35.15,62.16,30.21,54.74,61.89,22.16,37.63,11.15,37.53,36.94,#N/A,57.03,56.15,6.8918,30.06,13.11,158,36.05,36.68,180.15,33.97,36.52,28.85,82.3101,13.52,31.8162,43.41,58,145.85,35.75,79.7755,31.85,73.69,25.875,36.8111,11.47,38.125,42.01,42.01,45.8,20.125,72.01,56.47,27.7662,17.303,213,44.41,115.03,53.83,33.9,36.38,36,10.9,52.42,77.63,20.65,29.25,22.1087,88.77,48.8885,43.1,37.38,96.8,33.25,49.18,82.5
2013-01-08,75.5529,26.79,267.1,368.131,#N/A,93.35,29.51,71.45,45.38,87.82,68.3,39.39,12.09,52.01,26.02,34.64,44.18,68.53,109.48,35,21.25,20.2,62.76,52.003,37.15,75,42.22,#N/A,50.88,18.87,#N/A,42.3,90.65,86.22,33.57,34.29,14.287,33.28,43.19,12.83,88.44,26.37,37.78,32.39,51.37,95.17,192.8,63.0416,65.045,68.76,84.39,101,42.3375,#N/A,32.45,65.93,76.22,59.68,31.76,38.49,27.78,657.72,93.8,113.09,23.037,23.5367,33.35,133.65,32.79,70.58,85.755,49.94,19.75,34.81,#N/A,59.01,94.68,21.05,59.71,43.8758,76.98,72,22.05,64.64,45.98,53.5,#N/A,216.74,134.048,80.66,51.5745,26.52,15.26,56.93,60.81,62.9,64.71,166.84,81,#N/A,94.36,150.25,61.97,85.66,76.7493,54.56,52.955,71.45,57.48,6,54.8,43.82,61.75,29.66,68.25,32.28,50.77,26.8,43.34,52.5,55.08,88.32,67.25,30.285,64.8,47.44,72.74,72.93,51.25,#N/A,61.06,25.336,31.9115,7.14,35.22,60.95,29.82,54.29,62.49,21.98,37.95,11.1,37.815,37.37,#N/A,56.73,55.5,6.9236,30.06,13.07,158.95,35.78,37.26,175,33.97,36.3,28.64,80.7479,13.39,31.3778,43.27,58.93,145.88,35.68,80.0436,31.75,72.98,25.835,37.2566,11.58,37.275,42.61,41.62,47.1,20.29,71.63,55.62,27.9067,16.687,218.68,43.63,114.62,53.92,33.99,36.31,36.15,11.17,52.54,77.83,21.17,28.95,22.4959,89.62,46.3071,42.23,37.23,97.3,33.445,49.36,83.46
2013-01-09,74.6729,26.74,268.17,366.49,#N/A,94,29.66,71.7,45.51,88.48,68.6,40.4075,11.88,51.59,26.23,34.85,42.89,68.8,109.79,34.44,21.23,20.28,63.58,52.635,37.2,75,42.36,#N/A,50.95,19.125,#N/A,42.5,90.8,86.35,33.34,33.68,13.874,33.54,43.31,12.59,88.35,26.2,38.16,32.21,52,95.87,193.49,62.8798,65.25,69.3,83.93,101.03,42.485,#N/A,32.5,65.88,76.3,60.36,31.58,38.725,27.92,655.92,93.16,114,23.1341,23.6514,33.52,133.4,33.09,71.11,85.711,50.01,19.66,34.91,#N/A,58.56,94.25,21.03,60.17,45.5583,77.53,72.75,21.745,64.38,44.54,53.09,#N/A,215.19,133.652,81.5,52.1097,26.79,15.28,57.21,59.15,62.28,64.9,168.88,80.2,#N/A,95.04,149.986,61.78,86.85,78.3704,54.11,53.315,70.58,57.89,6.15,54.44,45.52,62.79,29.59,67.47,31.86,52.45,26.64,43.29,52.37,54.91,88.28,66.21,31.05,64.31,48.7,73.47,72.96,51.86,#N/A,60.73,25.384,32.0809,7.25,34.89,62.51,29.6,54.51,62.37,21.98,37.95,11.04,37.71,37,#N/A,56.71,56.03,7.0916,29.93,13,161.03,35.83,37.36,177.5,34.1,37.25,28.94,80.8054,13.42,31.7523,43.1,60.08,145.35,35.82,80.3487,31.09,73.42,26.205,37.0773,11.52,37.395,42.19,41.84,46.48,20.5,71.07,55.34,28.0098,16.95,214.08,42.84,115.08,54.62,33.57,36.24,36.35,11.04,52.86,78.49,20.74,29.03,22.2602,89.41,46.7457,42.53,36.97,97.67,33.42,49.27,85
2013-01-10,75.5,26.69,268.54,371.795,#N/A,93.89,30.6,71.8,45.9,88.67,68.74,40.6925,11.61,52.51,26.5,35.09,43.22,69,110.54,34.43,21.61,20.35,63.24,53.239,37.12,76.93,42.9,#N/A,50.93,19.325,#N/A,42.48,91.46,86.38,33.75,33.33,13.796,33.72,43.5,12.33,88.32,26.315,38.75,32.46,53.22,96.68,192.71,63.6604,65.62,69.83,84.95,101.35,43.15,#N/A,33.46,67.82,77,60.51,32.11,39.045,27.38,655.24,94.28,114.3,23.7522,24.1282,33.75,135,33.6,71.06,87.403,50.47,19.85,34.96,#N/A,58.56,95.18,21,62.35,45.3764,78.25,72.8,21.865,65.33,45.1,53.05,#N/A,216.02,133.016,81.88,52.1798,27.13,15.25,58.71,60.5,62.645,65.05,170.267,81.03,#N/A,97.37,150.964,62.49,87.65,79.7037,55.31,53.12,71.03,58.44,6.32,54.85,46.245,62.87,30.3,67.39,33.09,52.99,26.88,43.14,52.32,54.92,89.44,67.31,31.435,64.55,48.59,73.5,73.25,51.8,#N/A,60.38,25.592,32.366,7.37,35.08,62.27,29.3,55.03,62.73,22.11,38.42,10.99,37.36,37.47,#N/A,57.03,56.86,7.2641,30.25,13.38,162.5,35.86,37.32,185.14,34.63,36.29,28.48,81.2654,13.75,31.6975,43.25,60.25,145.82,36.11,81.5875,30.93,74.31,26.52,37.3164,11.72,37.035,42.25,42.49,46.74,20.84,71.65,56,28.7501,16.933,219.91,42.99,115.7,54.85,33.96,36.74,36.89,11.05,53.55,78.4,20.73,28.95,22.4496,88.47,47.0981,42.88,37.41,100.68,33.93,49.9,85.41
2013-01-11,74.4486,26.49,265.1,371.359,#N/A,94.7,31.28,72.18,45.98,89,68.5,40.145,11.7,53.21,26.74,34.95,43.64,69.27,111,34.36,21.8,20.37,63.59,52.751,36.9,75.9,42.82,#N/A,50.82,19.19,#N/A,42.79,91.9,89.25,33.81,33.51,14.026,33.78,43.79,12.27,87.95,26.345,38.65,32.77,53.25,95.56,194,63.1844,65.64,69.74,84.84,101,43.195,#N/A,33.54,67.41,78.31,60.68,32.41,39.045,27.555,653.48,94.16,114.34,23.7522,24.3577,34.04,137,33.46,71.56,87.37,51.25,20.17,35.5,#N/A,58.3,94.55,21.19,62.42,45.4068,78.7,73.18,21.86,64.78,45.79,53.35,#N/A,218.43,132.629,81.87,52.1009,27.35,15.3,58.82,60.71,63.03,65.34,168.913,81.98,#N/A,97.52,150.344,62.29,86.6,79.5503,55.84,53.77,71.67,58.52,6.31,55.72,47.845,63.8,30.4,67.26,33.25,52.88,26.73,43.28,52.21,54.2,89.91,69.45,31.43,64.73,47.04,73.22,73.19,51.51,#N/A,60.17,25.544,32.4819,7.38,35.14,62.85,29.25,55,62.65,22.38,38.06,10.85,38.875,37.09,#N/A,58.07,57.96,7.4911,30.4,13.33,160.75,35.99,37.11,183.97,34.85,35.73,28.655,81.5338,14,31.7888,43.47,60.64,146.03,36.63,81.3564,30.99,74.39,26.64,37.2457,11.67,37.655,42.4,42.63,46.135,20.5975,71.95,55.33,28.5252,16.283,217.21,43.31,114.53,54.33,33.84,36.83,36.6,11.05,52.96,77.71,20.905,28.5,22.3697,88.17,47.4863,43,37.28,102.6,33.91,50.2,86.27
2013-01-14,71.8571,26.88,268,368.882,#N/A,94.55,32.04,72.63,46,89.67,68.53,40.32,11.61,52.93,26.6,35,42.99,69.36,111.74,34.17,21.97,20.68,63.76,52.955,36.99,75.25,43.31,#N/A,50.4,19.25,#N/A,42.38,91.82,89.65,33.82,34,14.427,33.37,43.99,12.18,87.17,26.61,38.02,33,53.2,96.4,193,63.213,65.595,70,85.36,100.34,43.2475,#N/A,33.84,67.65,79,60.83,32.25,39.22,27.545,657.77,93.86,114,23.5932,24.2253,34.17,137.19,33.53,71.69,86.574,51.41,20.19,35.8,#N/A,58.36,95.38,21.18,61.75,45.2931,78.9,73.46,21.92,64.31,45.6,54.07,#N/A,221.47,132.74,81.84,52.1272,27.46,15.39,58.49,60.05,62.885,65.7,170.8,82.76,#N/A,97.34,150.409,62.4,83.48,79.838,55.6,53.655,70.61,58.01,6.33,55.64,48.285,64.04,30.35,67.1,33.1,53.01,26.71,43.18,52.45,53.9,90.75,69.6,31.08,65.24,47.12,72.91,72.52,50.67,#N/A,60.07,25.804,32.3036,7.5,35.21,62.57,29.33,55.1,62.89,22.33,38.32,11.5,39.04,37.33,#N/A,57.1,57.47,7.4457,30.32,13.3,161.9,35.22,37.07,181.05,34.83,35.2,28.28,81.7255,14.04,31.6975,43.24,60.92,147.06,36.88,81.5783,30.93,74.87,26.5,37.4576,11.67,37.2475,42.81,42.94,45.84,20.7125,71.86,55.83,28.3565,16.77,217.62,43.25,114.42,54.23,33.54,36.6,36.64,11.05,53.36,78,20.79,28.31,22.5464,87.62,48.1766,42.9,37.75,100.14,34.215,50.56,85.77
2013-01-15,71.1486,26.83,270.68,360.014,#N/A,94.79,30.62,72.26,45.47,89.24,68.29,39.915,11.38,53.21,26.59,34.64,42.48,69.2,112.23,33.97,21.95,20.92,63.5,52.169,37,76.25,43.35,#N/A,50.5,19.435,#N/A,41.8,91.05,88.62,34.04,34,14.717,33.15,44.01,12.14,86.31,26.555,37.86,32.86,52.65,96.93,191.5,63.0987,65.49,69.89,85.05,99.85,43.105,#N/A,34.3,67.11,78.75,60.09,32.14,38.705,27.275,658.38,93.49,113.6,23.5049,23.9957,34.03,135.44,33.39,71.54,85.965,51.63,19.94,35.4,#N/A,58.4,94.2,21.02,62.2,45.0884,78.65,72.48,21.93,63.73,45.43,54.15,#N/A,220.76,130.41,81.94,52.0219,27.5,15.17,58.76,59.2,62.005,65.46,168.28,82.44,#N/A,98.12,149.403,62.5,84.06,78.9747,54.51,53.625,70.18,57.58,6.37,55.37,48.95,64,30.13,66.83,33.69,52.23,26.67,43.03,52.31,54.31,89.45,69.95,31.16,64.75,45.77,72.54,72.88,51.3,#N/A,60.41,25.834,32.0274,7.54,35,62.63,29.46,55.01,61.25,22.43,38,11.49,39.01,37.63,#N/A,57.13,56.69,7.6273,30.11,13.24,160.93,34.8,36.84,175.85,34.8,34.54,28.06,82.1951,13.9,32.1085,43.17,61.04,145.85,36.88,80.9773,30.93,74.69,26.105,36.9469,11.72,38.3375,42.01,42.63,45.595,19.7575,72.22,55.25,28.1879,16.92,215.79,43,113.83,54.43,33.31,35.92,36.53,10.98,52.94,77.11,20.45,28,22.3486,87.91,47.4576,41.88,37.48,98.68,33.845,50.79,85.66
