Date,AAPL UW Equity,MSFT UW Equity,AMZN UW Equity,GOOGL UW Equity,GOOG UW Equity,BRK/B UN Equity,FB UW Equity,JNJ UN Equity,JPM UN Equity,XOM UN Equity,WMT UN Equity,V UN Equity,BAC UN Equity,UNH UN Equity,PFE UN Equity,WFC UN Equity,VZ UN Equity,PG UN Equity,CVX UN Equity,T UN Equity,INTC UW Equity,CSCO UW Equity,HD UN Equity,MA UN Equity,KO UN Equity,BA UN Equity,MRK UN Equity,ORCL UN Equity,DIS UN Equity,CMCSA UW Equity,PEP UW Equity,C UN Equity,MCD UN Equity,PM UN Equity,DWDP UN Equity,ABBV UN Equity,NFLX UW Equity,ABT UN Equity,MDT UN Equity,NVDA UW Equity,AMGN UW Equity,NKE UN Equity,ADBE UW Equity,MO UN Equity,LLY UN Equity,MMM UN Equity,IBM UN Equity,HON UN Equity,UNP UN Equity,ACN UN Equity,UTX UN Equity,COST UW Equity,CRM UN Equity,PYPL UW Equity,AVGO UW Equity,TMO UN Equity,UPS UN Equity,AXP UN Equity,TXN UW Equity,GILD UW Equity,SBUX UW Equity,BKNG UW Equity,LMT UN Equity,LIN UN Equity,FOXA UW Equity,FOX UW Equity,BMY UN Equity,GS UN Equity,USB UN Equity,NEE UN Equity,CHTR UW Equity,CVS UN Equity,MS UN Equity,LOW UN Equity,WBA UW Equity,COP UN Equity,CAT UN Equity,GE UN Equity,ANTM UN Equity,DHR UN Equity,AMT UN Equity,SLB UN Equity,TJX UN Equity,QCOM UW Equity,AET UN Equity,CME UW Equity,KHC UW Equity,BLK UN Equity,BIIB UW Equity,BDX UN Equity,ADP UW Equity,MDLZ UW Equity,SCHW UN Equity,SYK UN Equity,PNC UN Equity,EOG UN Equity,DUK UN Equity,ISRG UW Equity,CB UN Equity,CSX UW Equity,FDX UN Equity,SPG UN Equity,INTU UW Equity,AGN UN Equity,OXY UN Equity,ESRX UW Equity,CL UN Equity,GD UN Equity,RTN UN Equity,BSX UN Equity,CI UN Equity,CELG UW Equity,EL UN Equity,GM UN Equity,NOC UN Equity,HCA UN Equity,ILMN UW Equity,BK UN Equity,SO UN Equity,D UN Equity,SPGI UN Equity,DE UN Equity,HUM UN Equity,MPC UN Equity,NSC UN Equity,VRTX UW Equity,ECL UN Equity,CCI UN Equity,PSX UN Equity,ZTS UN Equity,TGT UN Equity,ICE UN Equity,MET UN Equity,MU UW Equity,MMC UN Equity,ITW UN Equity,EXC UN Equity,EMR UN Equity,COF UN Equity,PGR UN Equity,PLD UN Equity,ATVI UW Equity,CTSH UW Equity,CCL UN Equity,MAR UW Equity,AON UN Equity,PRU UN Equity,HPQ UN Equity,BBT UN Equity,DAL UN Equity,SHW UN Equity,AIG UN Equity,KMI UN Equity,REGN UW Equity,WM UN Equity,STZ UN Equity,ROST UW Equity,KMB UN Equity,F UN Equity,VLO UN Equity,AEP UN Equity,LYB UN Equity,PSA UN Equity,FIS UN Equity,APD UN Equity,SYY UN Equity,TRV UN Equity,AFL UN Equity,BAX UN Equity,AMAT UW Equity,VFC UN Equity,ADI UW Equity,ALL UN Equity,EW UN Equity,FISV UW Equity,SRE UN Equity,ETN UN Equity,JCI UN Equity,MNST UW Equity,EQIX UW Equity,DG UN Equity,ROP UN Equity,RHT UN Equity,WMB UN Equity,HAL UN Equity,ADSK UW Equity,LUV UN Equity,MCO UN Equity,APC UN Equity,CNC UN Equity,STI UN Equity,EBAY UW Equity,ORLY UW Equity,YUM UN Equity,BHGE UN Equity,TEL UN Equity,ALXN UW Equity,APH UN Equity,STT UN Equity,CXO UN Equity
2013-01-02,4292471,14635872,863002,670558,#N/A,2460281,10843558,3424978,5472228,4873275,2288303,928806,32858840,1439050,7495231,6329436,3662605,2618618,1821661,10202502,11311620,10512187,2608898,339618,6875328,1428401,3882646,#N/A,2680102,4903461,#N/A,8350154,1887865,1860256,2219301,2446119,513685,4064989,1529039,3159145,2158606,1032812,1608667,4218127,1824402,1136004,1142863,1273985,574942,1134779,989254,870100,345801,#N/A,688247,428683,978515,1293158,3425770,1416846,1864629,188844,676265,324075,6451027,1435609,2357562,981595,2705416,632595,232281,2078881,5961238,2303928,#N/A,1785898,2274568,8792074,605908,818271,674954,2052902,1559170,3782248,808907,563830,#N/A,234897,539035,250185,906672,4959739,3013960,496593,1035677,419710,840432,107597,423516,#N/A,511907,506310,1020422,902304,801073,1726010,518399,581395,396586,2100555,750927,1027343,601317,2892618,637456,766240,309451,2224183,1387456,656115,423266,1098426,400686,610950,701955,527147,372782,532123,1088460,#N/A,1880499,468106,3062172,5286799,749784,1003529,1839683,1136738,1628013,1033547,877684,1531702,708214,818670,#N/A,996829,936144,7891731,1317546,1303694,375858,4740858,1182401,321108,1026595,571716,929349,559444,13426482,2513280,1063793,816861,253452,636508,303126,935602,765471,1005535,572947,3385731,248804,1038305,749973,152016,305198,300862,1092579,982187,634397,277901,1399440,133401,413276,1786008,2161081,844615,1192562,505888,1396928,170109,1291862,4533712,634155,789194,993537,513855,689967,548774,905478,259483
2013-01-03,2424807,11947439,699686,600240,#N/A,2173884,9758855,2259873,4566858,3432661,2061563,723451,23189644,2287299,6051754,4858804,2312228,2013079,2026147,4358268,8832718,11025817,1595819,228143,6194119,830246,4702140,#N/A,1603121,2748000,#N/A,6434313,1189275,1340804,1654652,2136873,735291,4129603,1206561,2107791,1601411,1048702,1063336,2311385,1266305,611756,1168717,751477,441034,913735,854478,918012,197397,#N/A,551383,277453,726020,975211,1956754,1015512,1782128,196800,513452,334570,3173958,657340,2039558,926507,3297250,297252,174692,1386506,4822792,1716403,#N/A,1145233,1611274,8291042,647330,896420,946182,1856518,1412615,3710539,748394,632319,#N/A,176616,1192642,268094,670754,2342021,2589544,369658,840044,359106,568128,71577,328567,#N/A,292599,433232,526720,359119,956906,1450728,391681,440203,312152,2220863,515566,782158,428043,4155985,409174,795368,368573,1560445,945370,408552,234660,529295,578622,681940,632484,548304,306592,480688,902656,#N/A,1657361,258573,2613812,7101293,622760,851768,1487578,1440123,1064438,1108873,504849,1430521,660679,1132163,#N/A,353701,737987,8107006,1453933,2176693,165359,2568538,934217,229767,581007,497134,1732078,492499,18296330,1766689,483408,721806,158532,308704,202202,753880,525652,2385742,607822,2299112,783384,881257,736442,207758,791824,160810,778162,992133,1448811,235298,2215285,111011,351322,1160106,3382555,519799,1365213,423774,759698,237074,1488104,3140072,324184,473335,1263855,352207,324308,579704,748106,270688
2013-01-04,4174155,11811201,473710,628217,#N/A,1366362,11063126,2338863,4679728,3550444,1296748,498937,17606863,2051170,5726477,6339978,4023948,1394784,1157584,4066358,6443326,8064090,1200438,260368,5845017,803189,3356449,#N/A,2048914,3403165,#N/A,8256805,1765722,1023375,1135103,1913473,521630,2831460,983995,2540846,970362,817452,1018154,1447468,2000699,612860,806254,882427,317006,709221,979268,612537,156158,#N/A,579999,304190,534215,827783,1825304,935971,1644807,96248,301926,180504,3328751,1773848,1428208,1234015,2630069,228143,213511,1230145,7273246,1568767,#N/A,1135674,1249460,6101967,501850,669550,455751,1463590,1037795,2724402,900705,1184712,#N/A,140177,457791,154643,580939,2174411,2835279,393254,659520,273075,363511,67779,345496,#N/A,322292,362926,628417,402550,823872,1283531,389171,594782,265698,1968758,400449,850849,378018,2057310,418922,783949,759899,1654946,1214297,693437,325846,522075,426250,823096,646597,734093,209696,283842,564798,#N/A,978987,163400,2286338,3876624,588998,645182,1156135,739546,911583,782250,619338,866662,505549,597003,#N/A,395962,908533,3444015,939570,2998830,278449,2104241,1066800,137872,737794,379632,663898,300419,8614090,2075247,598908,708881,153745,357118,227049,578596,497582,2140636,726218,1817482,534516,988374,769126,531046,492284,185591,547705,504207,1421616,167614,1348504,106107,413774,993114,2053943,441661,1358717,430714,842627,256840,1123047,1795124,416463,478990,800983,347430,410534,215262,915776,315368
2013-01-07,3329509,7387165,1226930,404724,#N/A,1217133,15401237,1642844,5963282,2688808,1467377,589134,25031260,1381256,4606257,3584628,6299776,1230873,1304684,5185995,8996755,7870175,1763425,246455,4674401,1454004,1981078,#N/A,2156807,2623451,#N/A,6646187,1401483,1085399,1402625,3087955,1041991,2402664,1264821,3974457,744227,821587,908027,1905267,1422225,683742,614451,994076,251884,701038,745317,522418,237029,#N/A,383452,339171,477337,706159,1862152,1051741,1391376,181953,325110,234860,1978277,426728,1467361,665422,1864282,328687,123337,939071,4298323,2451160,#N/A,1493162,986390,6930214,404033,857400,297927,1183022,926649,2449895,474538,605321,#N/A,110796,404514,182513,506146,1766212,2351918,362581,948220,369292,469395,43847,207380,#N/A,237587,223602,383886,219839,912621,1217010,424356,466057,373251,3723700,483121,2006089,458866,2074403,502930,546338,1714401,1718687,1144790,664312,325835,426160,337496,1819126,532785,642442,237533,242731,888705,#N/A,1141786,187265,2018631,5568568,464079,537638,1008590,933057,1573601,760982,652492,889497,383529,606227,#N/A,262233,535988,3458179,669851,2987104,131796,2638765,979299,129287,583275,390433,586841,602014,7144591,2356961,460716,424354,117927,364559,172674,679434,538016,1858348,737749,3978817,878864,755759,484121,435352,502652,179916,748702,495148,2687562,221325,767719,66533,203733,804773,1466749,463428,1219180,361487,563401,399894,713185,3088091,397484,528738,708422,477729,306016,257270,855716,252962
2013-01-08,2643966,9004040,740962,454084,#N/A,1045725,7347309,2712515,3574009,5187657,2219547,578255,24422791,1405488,6883046,3077810,3677278,1751337,2002276,6005413,10274406,8731120,1532088,174344,3099709,2926744,4551575,#N/A,2092299,4131924,#N/A,5261285,1481155,1435985,2307553,2628645,644363,3234368,1447787,2700318,1406085,704743,865744,2457321,1027177,689266,698598,619327,281414,749335,951974,711634,155699,#N/A,602452,468576,475783,1017380,1592902,1942911,1533419,154552,407749,192896,3036141,424787,1400220,774044,1722614,606655,180331,1244646,3772229,1551018,#N/A,1690052,1450414,8709972,643823,516985,443102,1370049,1286124,3425379,965407,516574,#N/A,131671,657560,320735,612462,3886638,1819018,386840,591099,461908,485672,53220,461713,#N/A,461914,295210,352887,343101,2656878,1511922,245017,375059,561679,4000965,392310,2858322,415871,2173558,519810,531213,724344,941713,686830,399114,328353,422678,445420,866191,610582,605115,268221,401279,495860,#N/A,1039442,201166,2141106,5686973,666030,754546,938702,1245231,825436,652185,654566,1457964,603372,840199,#N/A,192895,618870,6843539,881476,2022404,283926,3235409,682352,559050,435189,752464,615901,484590,6304445,1870458,664253,659198,151340,304204,246192,430540,437537,1880964,455916,2176012,500588,646607,672927,405246,1085064,414368,985528,399565,1429530,230745,294166,118889,353059,1591036,2001894,485412,2037476,396094,649123,174416,1261021,3823826,380899,1943312,794701,312336,433763,200628,537929,218589
2013-01-09,2748106,7969431,536071,516912,#N/A,903679,16222588,2363069,4814659,3647798,1569835,661149,40796770,995075,5653883,4307241,2571769,1261004,1734052,3100298,7267194,6766023,1161772,327530,2131064,1849794,2102621,#N/A,1910321,2608998,#N/A,7934682,1186908,975287,1821868,2374035,390385,2741512,815408,3500965,808678,956147,951897,2450531,1509634,504370,625417,609112,237275,877285,722883,533090,156887,#N/A,702814,482653,631783,835046,1403618,938125,2087014,80981,241944,318963,2638787,1159575,1689613,786077,2284001,373694,129599,1360221,4521390,1062419,#N/A,1112973,772403,6001853,724710,1576185,266527,1267433,659678,2956342,555681,362994,#N/A,113907,591342,162546,760514,2430795,1678827,640596,1017504,291899,449215,41307,269598,#N/A,435524,245955,273857,268792,888859,1264406,307744,403909,264513,4503677,366689,1402410,342952,3262362,568957,597535,347079,1099328,728040,428914,217218,515883,306278,802882,473343,533869,274553,433186,528992,#N/A,807083,242183,1774513,3605158,633578,738060,1361329,626426,562072,544588,515093,870457,679796,691207,#N/A,232023,523264,6074665,639130,2330621,205923,2093354,941988,234026,680015,670376,726248,295053,5860832,1614457,569681,536065,125167,317618,248900,1292792,321252,1027102,797198,2683537,693364,1065175,751894,241472,991824,271068,604654,744788,822057,111026,736300,147909,274074,1076431,1487951,485785,1429059,293728,538655,235828,1122947,2230132,299262,1606705,752245,279321,363075,202926,527994,218484
2013-01-10,3806872,13213246,790144,480797,#N/A,1562427,13469897,2892051,4926487,4202832,2424409,1165913,29304424,1307393,6923691,6846571,2693611,1731518,1434366,4768678,9525667,8108367,1711690,439018,3968632,1020072,3600890,#N/A,2529750,3461445,#N/A,7257216,1188465,1333722,2107198,2155371,554674,1944262,1020775,2779511,1461279,845877,1009220,3016709,1216558,641288,811395,1238527,433490,780479,618228,738241,183865,#N/A,732432,484726,803759,1139864,1868140,1458721,2345213,116327,529599,266730,4338651,937674,1801255,1099443,3054565,400950,204948,1507179,6136138,1617149,#N/A,1420769,919927,7453747,619567,696773,571684,1381659,688293,3806096,677958,379338,#N/A,172705,715405,193288,628282,2702465,1495456,382829,762960,314055,585614,46251,406564,#N/A,400008,313615,451636,246972,1149558,1245797,395038,402004,400486,2811811,330466,1766280,477865,2029525,560045,461572,443950,1710088,1026781,590878,455384,558177,436001,650155,541811,707896,201375,346892,607406,#N/A,1229183,233913,1863313,3231052,675674,475607,1236616,821564,767895,809743,655708,1417348,599825,908025,#N/A,455325,986676,6768552,934236,3803825,193872,3050925,1060532,154715,724999,794848,664404,532352,12518177,2138242,680333,730201,168339,604829,161545,828592,464287,1326552,624860,2300375,713580,833205,771245,303372,658748,257449,673181,792677,2104824,125549,430823,161148,354850,1412755,1870261,500909,1309729,338987,730465,154360,1773130,2393252,378685,831060,505614,270989,486422,240186,942869,164301
2013-01-11,2542277,10987691,589777,351951,#N/A,970532,12034736,1683772,3436195,4162464,1763804,439911,19588683,2701465,6391287,6176039,2204472,1457735,1564175,5586554,8188371,5353381,1005763,200233,3022502,1594014,3081045,#N/A,2076973,2183822,#N/A,6342039,992449,1804632,2608643,1405546,820172,1780628,747180,2953255,1005592,1497684,983951,1637411,889548,916766,909225,484199,290959,924398,736423,965614,215879,#N/A,688979,237126,649232,1868552,1357755,923635,1509149,93584,376560,162394,2569356,571044,1697126,620737,2117352,356997,144775,1164369,2673132,1536031,#N/A,1136815,857728,12830932,500741,973695,378343,1185540,825066,1760294,432286,509498,#N/A,106133,474667,196937,482904,2071713,1313835,270194,677541,324920,628169,74559,287772,#N/A,335586,288189,258349,645110,982806,1081783,290768,537173,370074,2066502,347415,865729,408379,1766761,474139,459198,327453,1434067,724920,616874,584310,880096,424575,765349,431471,609408,206579,376745,602956,#N/A,1028789,129906,1308847,4084929,482490,307404,774277,521035,839267,725806,538679,5196756,1117336,429487,#N/A,259392,551490,8993655,694178,1856071,182867,2343279,695468,133817,408103,495359,522935,301126,13128160,974813,756300,499623,186788,484662,157308,517472,300130,1061958,488991,1786911,492060,624008,644294,267458,943768,255335,553343,531586,1796151,121988,463804,99998,208851,915500,2075495,373908,1281522,190003,512978,174280,1267636,2953460,344822,754636,994872,402309,257188,267214,742761,143194
2013-01-14,5725839,11173869,1186424,1069885,#N/A,1847929,16211704,1524066,5218105,3278736,1030766,632702,16119888,1065457,4848189,4531122,2892477,1941517,2055299,4209498,7936460,14115127,1316810,423562,2808078,2204207,3500825,#N/A,3095963,2268174,#N/A,6702773,1415293,1342137,2320488,2014786,636153,1301575,780782,1697231,1325778,989262,778288,1687444,1457138,786749,956039,554934,215841,797241,633613,747721,186416,#N/A,1075795,212574,1422857,1130425,1346065,1831808,1715668,122142,225148,154438,2110196,337571,1673960,967990,1571717,243054,110172,1306259,2309072,3784124,#N/A,1424811,734330,6806932,421334,560211,251605,1284861,628913,4191201,393530,593893,#N/A,116054,428953,197673,602688,1762517,1436285,342924,598711,221556,581277,88950,216950,#N/A,389294,199730,407700,358132,589725,1202311,234586,479410,252205,2059445,414323,1222561,333564,1362740,349086,602175,200948,925328,888676,280457,375287,498339,293941,545605,718068,527290,225515,296779,701284,#N/A,701747,156727,1401465,8041175,415915,287931,1023252,740183,1052863,733622,289854,1770278,536202,639941,#N/A,354539,333770,9730512,565164,1032345,114753,2344663,810837,95106,406128,762348,487966,233164,6228055,1014123,590655,674265,165241,371075,124122,515898,253218,797394,798043,1974537,634072,885791,453831,185926,607272,195441,401247,445178,1234533,145417,631692,67667,232029,913871,2701368,408042,1285252,237571,588638,278850,951582,3274707,247867,656861,1346206,308860,285027,235726,710404,185480
2013-01-15,5854393,9028592,585419,1144357,#N/A,992041,30948203,1587929,6381169,2890098,1061911,267646,17257120,848857,6195343,4747198,3569765,2100297,1888517,4336625,7145914,6756679,1118819,130403,2697080,778784,3236167,#N/A,1784212,2818884,#N/A,4239267,937037,1023317,1381119,1884124,482966,2361974,1013967,1838844,1384141,914914,882049,1801340,876930,637889,742973,442505,187179,941411,610853,510772,174198,#N/A,750114,209671,564395,1072346,1178808,973468,1932657,84611,352059,182719,2656390,768920,1426115,889648,2043161,146367,75801,1222333,3367203,1403442,#N/A,1407334,847686,5164202,404054,464441,391306,1088173,743365,1782353,609245,496081,#N/A,140923,534007,266188,613626,2012962,1771574,401807,441180,250695,653814,130016,250903,#N/A,261584,319050,398905,301902,569430,2020703,334685,464942,364904,4776577,372263,1419738,273421,1832983,395543,873392,323622,1432797,902431,405187,646778,297048,548806,494534,535464,733302,187252,210449,723695,#N/A,986468,109735,1433974,3333950,602474,353997,1305240,742649,804626,722789,520319,1106985,379234,1083803,#N/A,201338,462638,7629380,704855,1902538,74861,1925948,914438,221130,474123,638646,639930,349845,8629675,1436943,503500,419344,238630,564655,110952,629690,428954,1796550,1110041,2596268,860600,657973,398359,297268,3128824,271414,434179,490741,817557,119349,684151,47453,211202,1127549,1572424,764434,1673551,306203,497542,374954,1238811,2455851,346008,614409,631512,345239,210547,253378,712656,155890
